1.69078,2446,2563,1.70273 +1.19091e+07ns,,0
1.69267,2563,2675,1.70462 +1.14204e+07ns,,0
1.69676,2675,2782,1.70776 +1.11179e+07ns,,0
1.69864,2782,2885,1.70965 +1.06031e+07ns,,0
1.70273,2885,2984,1.71279 +1.02778e+07ns,,0
1.70462,2984,3080,1.71468 +9.86803e+06ns,,0
1.70776,3080,3173,1.71657 +9.50953e+06ns,,0
1.70965,3173,3263,1.71876 +9.07084e+06ns,,0
1.71279,3263,3351,1.72065 +8.68698e+06ns,,0
1.71468,3351,3436,1.72254 +8.35111e+06ns,,0
1.71657,3436,3519,1.72474 +8.05722e+06ns,,0
1.71876,3519,3600,1.72663 +7.80007e+06ns,,0
1.72065,3600,3679,1.72852 +7.57506e+06ns,,0
1.72254,3679,3757,1.7304 +7.62818e+06ns,,0
1.72474,3757,3833,1.73229 +7.67465e+06ns,,0
1.72663,3833,3907,1.73418 +7.71532e+06ns,,0
1.72852,3907,3980,1.73607 +7.7509e+06ns,,0
1.7304,3980,4052,1.73796 +7.65704e+06ns,,0
1.73229,4052,4122,1.73984 +7.57491e+06ns,,0
1.73418,4122,4191,1.74173 +7.50305e+06ns,,0
1.73607,4191,4259,1.74362 +7.44016e+06ns,,0
1.73796,4259,4326,1.74538 +7.51014e+06ns,,0
1.73984,4326,4392,1.74722 +7.44638e+06ns,,0
1.74173,4392,4457,1.75472 +7.26558e+06ns,,0
1.74362,4457,4521,1.76304 +7.10738e+06ns,,0
1.74538,4521,4584,1.77136 +6.96896e+06ns,,0
1.74722,4584,4646,1.77968 +6.84784e+06ns,,0
1.75472,4646,4707,1.788 +6.74186e+06ns,,0
1.76304,4707,4768,1.79632 +6.64912e+06ns,,0
1.77136,4768,4828,1.80464 +6.56798e+06ns,,0
1.77968,4828,4887,1.81296 +6.37199e+06ns,,0
1.788,4887,4945,1.82128 +6.32549e+06ns,,0
1.79632,4945,5003,1.8296 +6.2848e+06ns,,0
1.80464,5003,5060,1.83792 +6.2492e+06ns,,0
1.81296,5060,5116,1.84624 +6.21805e+06ns,,0
1.82128,5116,5172,1.85456 +6.19079e+06ns,,0
1.8296,5172,5227,1.86288 +6.16694e+06ns,,0
1.83792,5227,5281,1.8712 +6.14608e+06ns,,0
1.84624,5281,5335,1.87952 +6.12782e+06ns,,0
1.85456,5335,5388,1.88784 +6.11184e+06ns,,0
1.86288,5388,5441,1.89616 +6.09786e+06ns,,0
1.8712,5441,5493,1.90448 +6.08562e+06ns,,0
1.87952,5493,5545,1.9128 +6.07492e+06ns,,0
1.88784,5545,5596,1.92112 +6.06556e+06ns,,0
1.89616,5596,5647,1.92944 +6.05736e+06ns,,0
1.90448,5647,5697,1.93776 +6.05019e+06ns,,0
1.9128,5697,5747,1.94608 +6.04392e+06ns,,0
1.92112,5747,5796,1.9544 +6.03843e+06ns,,0
1.92944,5796,5845,1.96272 +6.03362e+06ns,,0
1.93776,5845,5894,1.97104 +6.02942e+06ns,,0
1.94608,5894,5942,1.97936 +6.02574e+06ns,,0
1.9544,5942,5990,1.98768 +6.02252e+06ns,,0
1.96272,5990,6037,1.996 +6.01971e+06ns,,0
1.97104,6037,6084,2.00432 +6.01724e+06ns,,0
1.97936,6084,6131,2.01264 +6.01509e+06ns,,0
1.98768,6131,6177,2.02096 +5.8882e+06ns,,0
1.996,6177,6223,2.02928 +5.90218e+06ns,,0
2.00432,6223,6269,2.0376 +5.9144e+06ns,,0
2.01264,6269,6314,2.04592 +5.9251e+06ns,,0
2.02096,6314,6359,2.05424 +5.93446e+06ns,,0
2.02928,6359,6404,2.06256 +5.94266e+06ns,,0
2.0376,6404,6448,2.07088 +5.94982e+06ns,,0
2.04592,6448,6492,2.0792 +5.9561e+06ns,,0
2.05424,6492,6536,2.08752 +5.96158e+06ns,,0
